game_date,pitcher_name,opponent,ballpark,fantasy_points,last_start_fp,season_avg_fp_prior,streamer_category
5/23/2025,Clayton Kershaw,NYM,NYM,6,-4,-4,Do Not Start
5/28/2025,Clayton Kershaw,CLE,CLE,8,6,1,Do Not Start
6/3/2025,Clayton Kershaw,NYM,LAD,-0.4,8,3.333333333,Do Not Start
6/8/2025,Clayton Kershaw,STL,STL,19,-0.4,2.4,Do Not Start
6/14/2025,Clayton Kershaw,SFG,LAD,27,19,5.72,Questionable Start
6/20/2025,Clayton Kershaw,WSN,LAD,13,27,9.266666667,Questionable Start
6/26/2025,Clayton Kershaw,COL,COL,23,13,9.8,Questionable Start
7/2/2025,Clayton Kershaw,CHW,LAD,3,23,11.45,Probably Start
7/8/2025,Clayton Kershaw,MIL,MIL,10,3,10.51111111,Questionable Start
7/20/2025,Clayton Kershaw,MIL,LAD,6.3,10,10.46,Questionable Start
7/26/2025,Clayton Kershaw,BOS,BOS,-1.4,6.3,10.08181818,Do Not Start
8/1/2025,Clayton Kershaw,TBR,TBR,21,-1.4,9.125,Do Not Start
8/8/2025,Clayton Kershaw,TOR,LAD,17,21,10.03846154,Do Not Start
8/15/2025,Clayton Kershaw,SDP,LAD,21,17,10.53571429,NA
8/21/2025,Clayton Kershaw,COL,COL,10.6,21,11.23333333,Questionable Start
8/26/2025,Clayton Kershaw,CIN,LAD,22,10.6,11.19375,Probably Start
9/2/2025,Clayton Kershaw,PIT,PIT,2,22,11.82941176,Probably Start
9/7/2025,Clayton Kershaw,BAL,BAL,19.6,2,11.28333333,Questionable Start
9/13/2025,Clayton Kershaw,SFG,SFG,-6,19.6,11.72105263,Probably Start
9/19/2025,Clayton Kershaw,SFG,LAD,6.3,-6,10.835,Questionable Start
9/28/2025,Clayton Kershaw,SEA,SEA,22.3,6.3,10.61904762,Do Not Start
7/28/2025,Rich Hill,ATL,KCR,-2,6,6,Do Not Start
4/6/2025,Martin Perez,DET,DET,14.3,29,29,Questionable Start
4/12/2025,Martin Perez,BOS,CHW,4.6,14.3,21.65,Questionable Start
4/18/2025,Martin Perez,BOS,BOS,-6,4.6,15.96666667,Do Not Start
8/20/2025,Martin Perez,ATL,ATL,17.3,-6,10.475,Do Not Start
8/26/2025,Martin Perez,KCR,CHW,25,17.3,11.84,Do Not Start
8/31/2025,Martin Perez,NYY,CHW,14,25,14.03333333,Do Not Start
9/6/2025,Martin Perez,DET,DET,-8,14,14.02857143,Questionable Start
9/12/2025,Martin Perez,CLE,CLE,9.6,-8,11.275,Questionable Start
9/17/2025,Martin Perez,BAL,CHW,-1.4,9.6,11.08888889,Questionable Start
4/4/2025,Justin Verlander,SEA,SFG,-4.7,9,9,Probably Start
4/9/2025,Justin Verlander,CIN,SFG,6.6,-4.7,2.15,Probably Start
4/15/2025,Justin Verlander,PHI,PHI,-2.4,6.6,3.633333333,Probably Start
4/20/2025,Justin Verlander,LAA,LAA,18,-2.4,2.125,Probably Start
4/25/2025,Justin Verlander,TEX,SFG,16,18,5.3,Probably Start
5/1/2025,Justin Verlander,COL,SFG,12.3,16,7.083333333,Probably Start
5/6/2025,Justin Verlander,CHC,CHC,5,12.3,7.828571429,Questionable Start
5/12/2025,Justin Verlander,ARI,SFG,9,5,7.475,Questionable Start
5/18/2025,Justin Verlander,ATH,SFG,1,9,7.644444444,Questionable Start
6/18/2025,Justin Verlander,CLE,SFG,4.6,1,6.98,Do Not Start
6/24/2025,Justin Verlander,MIA,SFG,8,4.6,6.763636364,Do Not Start
6/29/2025,Justin Verlander,CHW,CHW,12,8,6.866666667,Do Not Start
7/4/2025,Justin Verlander,ATH,ATH,-6,12,7.261538462,Do Not Start
7/9/2025,Justin Verlander,PHI,SFG,14,-6,6.314285714,Do Not Start
7/18/2025,Justin Verlander,TOR,TOR,-12.4,14,6.826666667,Do Not Start
7/23/2025,Justin Verlander,ATL,ATL,17,-12.4,5.625,Questionable Start
7/29/2025,Justin Verlander,PIT,SFG,13,17,6.294117647,Probably Start
8/4/2025,Justin Verlander,PIT,PIT,15,13,6.666666667,Probably Start
8/10/2025,Justin Verlander,WSN,SFG,-1,15,7.105263158,Probably Start
8/16/2025,Justin Verlander,TBR,SFG,27,-1,6.7,Probably Start
8/21/2025,Justin Verlander,SDP,SDP,-2.7,27,7.666666667,Questionable Start
8/26/2025,Justin Verlander,CHC,SFG,15,-2.7,7.195454545,Do Not Start
8/31/2025,Justin Verlander,BAL,SFG,23,15,7.534782609,Questionable Start
9/6/2025,Justin Verlander,STL,STL,21,23,8.179166667,Probably Start
9/12/2025,Justin Verlander,LAD,SFG,15,21,8.692,Do Not Start
9/17/2025,Justin Verlander,ARI,ARI,19,15,8.934615385,Probably Start
9/22/2025,Justin Verlander,STL,SFG,-3.7,19,9.307407407,Probably Start
9/27/2025,Justin Verlander,COL,SFG,20,-3.7,8.842857143,Auto Start
4/1/2025,Nathan Eovaldi,CIN,CIN,36,20,20,Auto Start
4/7/2025,Nathan Eovaldi,CHC,CHC,4.6,36,28,Auto Start
4/13/2025,Nathan Eovaldi,SEA,SEA,9,4.6,20.2,Auto Start
4/19/2025,Nathan Eovaldi,LAD,TEX,16,9,17.4,Probably Start
4/25/2025,Nathan Eovaldi,SFG,SFG,26,16,17.12,Auto Start
4/30/2025,Nathan Eovaldi,ATH,TEX,18,26,18.6,Auto Start
5/6/2025,Nathan Eovaldi,BOS,BOS,22,18,18.51428571,Auto Start
5/11/2025,Nathan Eovaldi,DET,DET,30,22,18.95,Auto Start
5/16/2025,Nathan Eovaldi,HOU,TEX,15.6,30,20.17777778,Auto Start
5/22/2025,Nathan Eovaldi,NYY,NYY,16,15.6,19.72,Auto Start
5/27/2025,Nathan Eovaldi,TOR,TEX,5,16,19.38181818,Auto Start
6/27/2025,Nathan Eovaldi,SEA,TEX,-2,5,18.18333333,Do Not Start
7/2/2025,Nathan Eovaldi,BAL,TEX,22,-2,16.63076923,Do Not Start
7/8/2025,Nathan Eovaldi,LAA,LAA,24,22,17.01428571,Auto Start
7/13/2025,Nathan Eovaldi,HOU,HOU,26.6,24,17.48,Auto Start
7/25/2025,Nathan Eovaldi,ATL,TEX,20,26.6,18.05,Auto Start
7/30/2025,Nathan Eovaldi,LAA,LAA,20,20,18.16470588,Auto Start
8/5/2025,Nathan Eovaldi,NYY,TEX,34,20,18.26666667,Auto Start
8/11/2025,Nathan Eovaldi,ARI,TEX,-1,34,19.09473684,Auto Start
8/17/2025,Nathan Eovaldi,TOR,TOR,23,-1,18.09,Auto Start
8/22/2025,Nathan Eovaldi,CLE,TEX,24,23,18.32380952,Auto Start
4/16/2025,Patrick Corbin,LAA,TEX,18.3,-1,-1,Do Not Start
4/22/2025,Patrick Corbin,ATH,ATH,11,18.3,8.65,Do Not Start
4/28/2025,Patrick Corbin,ATH,TEX,5.6,11,9.433333333,Do Not Start
5/3/2025,Patrick Corbin,SEA,TEX,8.6,5.6,8.475,Do Not Start
5/9/2025,Patrick Corbin,DET,DET,13,8.6,8.5,Do Not Start
5/14/2025,Patrick Corbin,COL,TEX,21,13,9.25,Questionable Start
5/20/2025,Patrick Corbin,NYY,NYY,5,21,10.92857143,Do Not Start
5/25/2025,Patrick Corbin,CHW,CHW,9.3,5,10.1875,NA
5/31/2025,Patrick Corbin,STL,TEX,9.3,9.3,10.08888889,Do Not Start
6/6/2025,Patrick Corbin,WSN,WSN,17,9.3,10.01,Questionable Start
6/12/2025,Patrick Corbin,MIN,MIN,11,17,10.64545455,Do Not Start
6/18/2025,Patrick Corbin,KCR,TEX,3,11,10.675,Do Not Start
6/23/2025,Patrick Corbin,BAL,BAL,2,3,10.08461538,Do Not Start
6/30/2025,Patrick Corbin,BAL,TEX,9,2,9.507142857,Do Not Start
7/5/2025,Patrick Corbin,SDP,SDP,15,9,9.473333333,NA
7/10/2025,Patrick Corbin,LAA,LAA,13,15,9.81875,Do Not Start
7/18/2025,Patrick Corbin,DET,TEX,16.6,13,10.00588235,Do Not Start
7/23/2025,Patrick Corbin,ATH,TEX,15.6,16.6,10.37222222,Do Not Start
7/29/2025,Patrick Corbin,LAA,LAA,11,15.6,10.64736842,Do Not Start
8/4/2025,Patrick Corbin,NYY,TEX,-3,11,10.665,Do Not Start
8/10/2025,Patrick Corbin,PHI,TEX,0.3,-3,10.01428571,Do Not Start
8/16/2025,Patrick Corbin,TOR,TOR,-15.7,0.3,9.572727273,Do Not Start
8/21/2025,Patrick Corbin,KCR,KCR,-5.4,-15.7,8.473913043,Do Not Start
8/26/2025,Patrick Corbin,LAA,TEX,33,-5.4,7.895833333,Do Not Start
9/1/2025,Patrick Corbin,ARI,ARI,4.6,33,8.9,Do Not Start
9/7/2025,Patrick Corbin,HOU,TEX,14.6,4.6,8.734615385,Do Not Start
9/13/2025,Patrick Corbin,NYM,NYM,9.3,14.6,8.951851852,Do Not Start
9/23/2025,Patrick Corbin,MIN,TEX,0.6,9.3,8.964285714,Do Not Start
9/28/2025,Patrick Corbin,CLE,CLE,5,0.6,8.675862069,Do Not Start
4/2/2025,Zack Wheeler,COL,PHI,31,20,20,Auto Start
4/8/2025,Zack Wheeler,ATL,ATL,1.3,31,25.5,Auto Start
4/13/2025,Zack Wheeler,STL,STL,5,1.3,17.43333333,Auto Start
4/18/2025,Zack Wheeler,MIA,PHI,30,5,14.325,Auto Start
4/23/2025,Zack Wheeler,NYM,NYM,16,30,17.46,Auto Start
4/29/2025,Zack Wheeler,WSN,PHI,15.6,16,17.21666667,Auto Start
5/6/2025,Zack Wheeler,TBR,TBR,27,15.6,16.98571429,Auto Start
5/11/2025,Zack Wheeler,CLE,CLE,29,27,18.2375,Auto Start
5/17/2025,Zack Wheeler,PIT,PHI,25,29,19.43333333,Auto Start
5/23/2025,Zack Wheeler,ATH,ATH,26.6,25,19.99,Auto Start
5/29/2025,Zack Wheeler,ATL,PHI,1.3,26.6,20.59090909,Auto Start
6/9/2025,Zack Wheeler,CHC,PHI,19,1.3,18.98333333,Auto Start
6/15/2025,Zack Wheeler,TOR,PHI,26,19,18.98461538,Auto Start
6/20/2025,Zack Wheeler,NYM,PHI,16,26,19.48571429,Auto Start
6/25/2025,Zack Wheeler,HOU,HOU,20,16,19.25333333,Auto Start
6/30/2025,Zack Wheeler,SDP,PHI,33,20,19.3,Auto Start
7/6/2025,Zack Wheeler,CIN,PHI,41,33,20.10588235,Auto Start
7/12/2025,Zack Wheeler,SDP,SDP,9,41,21.26666667,Auto Start
7/21/2025,Zack Wheeler,BOS,PHI,17,9,20.62105263,Auto Start
7/27/2025,Zack Wheeler,NYY,NYY,8.6,17,20.44,Auto Start
8/2/2025,Zack Wheeler,DET,PHI,13,8.6,19.87619048,Auto Start
8/10/2025,Zack Wheeler,TEX,TEX,17,13,19.56363636,Auto Start
8/15/2025,Zack Wheeler,WSN,WSN,11,17,19.45217391,NA
4/1/2025,Chris Sale,LAD,LAD,10,9,9,Auto Start
4/8/2025,Chris Sale,PHI,ATL,-1.4,10,9.5,Auto Start
4/13/2025,Chris Sale,TBR,TBR,4.3,-1.4,5.866666667,Auto Start
4/19/2025,Chris Sale,MIN,ATL,7.3,4.3,5.475,Auto Start
4/25/2025,Chris Sale,ARI,ARI,15,7.3,5.84,Auto Start
4/30/2025,Chris Sale,COL,COL,22,15,7.366666667,Auto Start
5/6/2025,Chris Sale,CIN,ATL,21.6,22,9.457142857,Auto Start
5/11/2025,Chris Sale,PIT,PIT,9.6,21.6,10.975,Auto Start
5/16/2025,Chris Sale,BOS,BOS,25,9.6,10.82222222,Auto Start
5/23/2025,Chris Sale,SDP,ATL,20,25,12.24,Auto Start
5/29/2025,Chris Sale,PHI,PHI,26,20,12.94545455,Auto Start
6/4/2025,Chris Sale,ARI,ATL,19,26,14.03333333,Auto Start
6/9/2025,Chris Sale,MIL,MIL,28,19,14.41538462,Auto Start
6/18/2025,Chris Sale,NYM,ATL,30.6,28,15.38571429,Auto Start
8/30/2025,Chris Sale,PHI,PHI,21,30.6,16.4,Questionable Start
9/5/2025,Chris Sale,SEA,ATL,21.6,21,16.6875,Auto Start
9/10/2025,Chris Sale,CHC,ATL,10,21.6,16.97647059,Auto Start
9/16/2025,Chris Sale,WSN,WSN,30,10,16.58888889,Auto Start
9/22/2025,Chris Sale,WSN,ATL,11,30,17.29473684,Auto Start
4/5/2025,Jacob deGrom,TBR,TEX,2.6,17,17,Auto Start
4/11/2025,Jacob deGrom,SEA,SEA,3,2.6,9.8,Auto Start
4/18/2025,Jacob deGrom,LAD,TEX,22,3,7.533333333,Auto Start
4/24/2025,Jacob deGrom,ATH,ATH,11.3,22,11.15,Auto Start
4/29/2025,Jacob deGrom,ATH,TEX,26,11.3,11.18,Auto Start
5/4/2025,Jacob deGrom,SEA,TEX,16,26,13.65,Auto Start
5/10/2025,Jacob deGrom,DET,DET,20,16,13.98571429,Auto Start
5/15/2025,Jacob deGrom,HOU,TEX,30,20,14.7375,Auto Start
5/21/2025,Jacob deGrom,NYY,NYY,22,30,16.43333333,Auto Start
5/26/2025,Jacob deGrom,TOR,TEX,4.3,22,16.99,Auto Start
6/1/2025,Jacob deGrom,STL,TEX,18,4.3,15.83636364,Auto Start
6/7/2025,Jacob deGrom,WSN,WSN,32,18,16.01666667,Auto Start
6/14/2025,Jacob deGrom,CHW,TEX,15,32,17.24615385,Auto Start
6/20/2025,Jacob deGrom,PIT,PIT,20,15,17.08571429,NA
6/25/2025,Jacob deGrom,BAL,BAL,30,20,17.28,Auto Start
7/1/2025,Jacob deGrom,BAL,TEX,19,30,18.075,Auto Start
7/7/2025,Jacob deGrom,LAA,LAA,7,19,18.12941176,Auto Start
7/12/2025,Jacob deGrom,HOU,HOU,17,7,17.51111111,Auto Start
7/22/2025,Jacob deGrom,ATH,TEX,26,17,17.48421053,Auto Start
7/28/2025,Jacob deGrom,LAA,LAA,5.3,26,17.91,Auto Start
8/3/2025,Jacob deGrom,SEA,SEA,3,5.3,17.30952381,Auto Start
8/9/2025,Jacob deGrom,PHI,TEX,13.6,3,16.65909091,Auto Start
8/15/2025,Jacob deGrom,TOR,TOR,18,13.6,16.52608696,NA
8/25/2025,Jacob deGrom,LAA,TEX,13,18,16.5875,Auto Start
8/31/2025,Jacob deGrom,ATH,ATH,23,13,16.444,Auto Start
9/6/2025,Jacob deGrom,HOU,TEX,10.3,23,16.69615385,Auto Start
9/12/2025,Jacob deGrom,NYM,NYM,18,10.3,16.45925926,Auto Start
9/17/2025,Jacob deGrom,HOU,HOU,4,18,16.51428571,Auto Start
9/24/2025,Jacob deGrom,MIN,TEX,18,4,16.08275862,Auto Start
4/3/2025,Merrill Kelly,NYY,NYY,-18.4,12.3,12.3,Questionable Start
4/8/2025,Merrill Kelly,BAL,ARI,18,-18.4,-3.05,Questionable Start
4/15/2025,Merrill Kelly,MIA,MIA,26,18,3.966666667,Probably Start
4/20/2025,Merrill Kelly,CHC,CHC,15.6,26,9.475,Questionable Start
4/26/2025,Merrill Kelly,ATL,ARI,13,15.6,10.7,NA
5/2/2025,Merrill Kelly,PHI,PHI,11,13,11.08333333,Questionable Start
5/7/2025,Merrill Kelly,NYM,ARI,12.3,11,11.07142857,Probably Start
5/12/2025,Merrill Kelly,SFG,SFG,24,12.3,11.225,Probably Start
5/18/2025,Merrill Kelly,COL,ARI,33,24,12.64444444,Auto Start
5/24/2025,Merrill Kelly,STL,STL,9,33,14.68,Probably Start
5/30/2025,Merrill Kelly,WSN,ARI,5,9,14.16363636,Probably Start
6/4/2025,Merrill Kelly,ATL,ATL,32,5,13.4,Questionable Start
6/9/2025,Merrill Kelly,SEA,ARI,19,32,14.83076923,Probably Start
6/15/2025,Merrill Kelly,SDP,ARI,6,19,15.12857143,Probably Start
6/21/2025,Merrill Kelly,COL,COL,17,6,14.52,Probably Start
6/27/2025,Merrill Kelly,MIA,ARI,9,17,14.675,Probably Start
7/2/2025,Merrill Kelly,SFG,ARI,7,9,14.34117647,Probably Start
7/8/2025,Merrill Kelly,SDP,SDP,19,7,13.93333333,Probably Start
7/13/2025,Merrill Kelly,LAA,LAA,19,19,14.2,Probably Start
7/20/2025,Merrill Kelly,STL,ARI,17,19,14.44,Probably Start
7/26/2025,Merrill Kelly,PIT,PIT,12.6,17,14.56190476,Probably Start
8/2/2025,Merrill Kelly,SEA,SEA,13.6,12.6,14.47272727,Probably Start
8/8/2025,Merrill Kelly,PHI,TEX,-1.7,13.6,14.43478261,Probably Start
8/13/2025,Merrill Kelly,ARI,TEX,11,-1.7,13.7625,Probably Start
8/19/2025,Merrill Kelly,KCR,KCR,15,11,13.652,Auto Start
8/24/2025,Merrill Kelly,CLE,TEX,28,15,13.70384615,Auto Start
8/30/2025,Merrill Kelly,ATH,ATH,13.3,28,14.23333333,Probably Start
9/5/2025,Merrill Kelly,HOU,TEX,20,13.3,14.2,Auto Start
9/10/2025,Merrill Kelly,MIL,TEX,10.6,20,14.4,Auto Start
9/16/2025,Merrill Kelly,HOU,HOU,-12,10.6,14.27333333,Auto Start
9/21/2025,Merrill Kelly,MIA,TEX,3.3,-12,13.42580645,Auto Start
4/16/2025,Jose Quintana,DET,MIL,15.6,24,24,Questionable Start
4/22/2025,Jose Quintana,SFG,SFG,16,15.6,19.8,Questionable Start
4/27/2025,Jose Quintana,STL,STL,16,16,18.53333333,Questionable Start
5/3/2025,Jose Quintana,CHC,MIL,1,16,17.9,Questionable Start
5/9/2025,Jose Quintana,TBR,TBR,9.3,1,14.52,Questionable Start
6/1/2025,Jose Quintana,PHI,PHI,6,9.3,13.65,Do Not Start
6/7/2025,Jose Quintana,SDP,MIL,9,6,12.55714286,Questionable Start
6/14/2025,Jose Quintana,STL,MIL,-4.7,9,12.1125,Questionable Start
6/21/2025,Jose Quintana,MIN,MIN,17,-4.7,10.24444444,Questionable Start
6/27/2025,Jose Quintana,COL,MIL,8.6,17,10.92,Probably Start
7/3/2025,Jose Quintana,NYM,NYM,6.3,8.6,10.70909091,Do Not Start
7/9/2025,Jose Quintana,LAD,MIL,14,6.3,10.34166667,Do Not Start
7/20/2025,Jose Quintana,LAD,LAD,16,14,10.62307692,Do Not Start
7/26/2025,Jose Quintana,MIA,MIL,4,16,11.00714286,Questionable Start
8/1/2025,Jose Quintana,WSN,WSN,12,4,10.54,Questionable Start
8/6/2025,Jose Quintana,ATL,ATL,17,12,10.63125,Questionable Start
8/11/2025,Jose Quintana,PIT,MIL,20,17,11.00588235,Probably Start
8/17/2025,Jose Quintana,CIN,CIN,14.3,20,11.50555556,Questionable Start
8/22/2025,Jose Quintana,SFG,MIL,9.3,14.3,11.65263158,Probably Start
8/28/2025,Jose Quintana,ARI,MIL,-9.4,9.3,11.535,Questionable Start
9/3/2025,Jose Quintana,PHI,MIL,13.3,-9.4,10.53809524,Questionable Start
9/8/2025,Jose Quintana,TEX,TEX,6.6,13.3,10.66363636,Probably Start
9/14/2025,Jose Quintana,STL,MIL,2,6.6,10.48695652,Probably Start
6/5/2025,Drew Pomeranz,WSN,WSN,2,4,4,NA
7/5/2025,Drew Pomeranz,STL,CHC,-5.7,2,3,NA
9/7/2025,Drew Pomeranz,WSN,CHC,5,-5.7,0.1,NA
4/5/2025,Robbie Ray,SEA,SFG,14,14.3,14.3,Auto Start
4/11/2025,Robbie Ray,NYY,NYY,16,14,14.15,Probably Start
4/16/2025,Robbie Ray,PHI,PHI,1,16,14.76666667,Probably Start
4/21/2025,Robbie Ray,MIL,SFG,7,1,11.325,Probably Start
4/26/2025,Robbie Ray,TEX,SFG,19,7,10.46,NA
5/2/2025,Robbie Ray,COL,SFG,30,19,11.88333333,Auto Start
5/7/2025,Robbie Ray,CHC,CHC,21,30,14.47142857,Probably Start
5/13/2025,Robbie Ray,ARI,SFG,16,21,15.2875,Probably Start
5/19/2025,Robbie Ray,KCR,SFG,21,16,15.36666667,Auto Start
5/25/2025,Robbie Ray,WSN,WSN,25,21,15.93,NA
5/31/2025,Robbie Ray,MIA,MIA,23,25,16.75454545,Auto Start
6/5/2025,Robbie Ray,SDP,SFG,26,23,17.275,Auto Start
6/11/2025,Robbie Ray,COL,COL,5,26,17.94615385,Auto Start
6/17/2025,Robbie Ray,CLE,SFG,10,5,17.02142857,Auto Start
6/22/2025,Robbie Ray,BOS,SFG,7,10,16.55333333,Auto Start
6/28/2025,Robbie Ray,CHW,CHW,16,7,15.95625,Auto Start
7/3/2025,Robbie Ray,ARI,ARI,31,16,15.95882353,Auto Start
7/8/2025,Robbie Ray,PHI,SFG,11.6,31,16.79444444,Auto Start
7/13/2025,Robbie Ray,LAD,SFG,15,11.6,16.52105263,Auto Start
7/20/2025,Robbie Ray,TOR,TOR,-4.7,15,16.445,Auto Start
7/26/2025,Robbie Ray,NYM,SFG,6.6,-4.7,15.43809524,Auto Start
8/1/2025,Robbie Ray,NYM,NYM,20,6.6,15.03636364,Auto Start
8/6/2025,Robbie Ray,PIT,PIT,14,20,15.25217391,Auto Start
8/12/2025,Robbie Ray,SDP,SFG,6,14,15.2,Auto Start
8/18/2025,Robbie Ray,SDP,SDP,25.6,6,14.832,Auto Start
8/24/2025,Robbie Ray,MIL,MIL,-1,25.6,15.24615385,Auto Start
8/29/2025,Robbie Ray,BAL,SFG,-3.7,-1,14.64444444,Probably Start
9/3/2025,Robbie Ray,COL,COL,4.6,-3.7,13.98928571,Probably Start
9/9/2025,Robbie Ray,ARI,SFG,16,4.6,13.66551724,Probably Start
9/14/2025,Robbie Ray,LAD,SFG,-3,16,13.74333333,Probably Start
9/19/2025,Robbie Ray,LAD,LAD,0.6,-3,13.20322581,Questionable Start
5/11/2025,Jose Urena,SEA,SEA,1,5.3,5.3,Do Not Start
8/3/2025,Jose Urena,CLE,CLE,5,1,3.15,Do Not Start
8/10/2025,Jose Urena,KCR,MIN,1,5,3.766666667,Do Not Start
8/21/2025,Jose Urena,ATH,MIN,-3,1,3.075,Do Not Start
9/10/2025,Jose Urena,MIN,LAA,5,-3,1.86,NA
4/9/2025,Taijuan Walker,ATL,ATL,9.6,23,23,Do Not Start
4/14/2025,Taijuan Walker,SFG,PHI,5,9.6,16.3,Do Not Start
4/19/2025,Taijuan Walker,MIA,PHI,8,5,12.53333333,Do Not Start
4/25/2025,Taijuan Walker,CHC,CHC,1,8,11.4,Do Not Start
5/1/2025,Taijuan Walker,WSN,PHI,8.6,1,9.32,Do Not Start
5/21/2025,Taijuan Walker,COL,COL,8,8.6,9.2,Do Not Start
5/30/2025,Taijuan Walker,MIL,PHI,2,8,9.028571429,Do Not Start
7/8/2025,Taijuan Walker,SFG,SFG,9,2,8.15,Do Not Start
7/19/2025,Taijuan Walker,LAA,PHI,0,9,8.244444444,Do Not Start
7/25/2025,Taijuan Walker,NYY,NYY,6.6,0,7.42,Do Not Start
7/30/2025,Taijuan Walker,CHW,CHW,4,6.6,7.345454545,Do Not Start
8/5/2025,Taijuan Walker,BAL,PHI,23,4,7.066666667,Do Not Start
8/11/2025,Taijuan Walker,CIN,CIN,11,23,8.292307692,Do Not Start
8/16/2025,Taijuan Walker,WSN,WSN,9.6,11,8.485714286,Do Not Start
8/22/2025,Taijuan Walker,WSN,PHI,8,9.6,8.56,Do Not Start
8/27/2025,Taijuan Walker,NYM,NYM,-1,8,8.525,Questionable Start
9/1/2025,Taijuan Walker,MIL,MIL,-5,-1,7.964705882,Questionable Start
9/7/2025,Taijuan Walker,MIA,MIA,1,-5,7.244444444,Questionable Start
9/13/2025,Taijuan Walker,KCR,PHI,7,1,6.915789474,Do Not Start
9/19/2025,Taijuan Walker,ARI,ARI,4,7,6.92,NA
4/8/2025,Kyle Hendricks,TBR,TBR,15,11,11,Questionable Start
4/13/2025,Kyle Hendricks,HOU,HOU,-4,15,13,Do Not Start
4/19/2025,Kyle Hendricks,SFG,LAA,4,-4,7.333333333,Questionable Start
4/25/2025,Kyle Hendricks,MIN,MIN,-10,4,6.5,Do Not Start
5/3/2025,Kyle Hendricks,DET,LAA,23.6,-10,3.2,Do Not Start
5/9/2025,Kyle Hendricks,BAL,LAA,5,23.6,6.6,Do Not Start
5/14/2025,Kyle Hendricks,SDP,SDP,10,5,6.371428571,Do Not Start
5/20/2025,Kyle Hendricks,ATH,ATH,6.6,10,6.825,Do Not Start
5/25/2025,Kyle Hendricks,MIA,LAA,10,6.6,6.8,NA
5/31/2025,Kyle Hendricks,CLE,CLE,4.6,10,7.12,Do Not Start
6/6/2025,Kyle Hendricks,SEA,LAA,7,4.6,6.890909091,Do Not Start
6/11/2025,Kyle Hendricks,ATH,LAA,14,7,6.9,Do Not Start
6/17/2025,Kyle Hendricks,NYY,NYY,27,14,7.446153846,Do Not Start
6/22/2025,Kyle Hendricks,HOU,LAA,2,27,8.842857143,Do Not Start
6/28/2025,Kyle Hendricks,WSN,LAA,13,2,8.386666667,Do Not Start
7/4/2025,Kyle Hendricks,TOR,TOR,7.3,13,8.675,Do Not Start
7/9/2025,Kyle Hendricks,TEX,LAA,-2.4,7.3,8.594117647,Do Not Start
7/22/2025,Kyle Hendricks,NYM,NYM,2.6,-2.4,7.983333333,Do Not Start
7/27/2025,Kyle Hendricks,SEA,LAA,21,2.6,7.7,Do Not Start
8/2/2025,Kyle Hendricks,CHW,LAA,9,21,8.365,Do Not Start
8/8/2025,Kyle Hendricks,DET,DET,10,9,8.395238095,Do Not Start
8/13/2025,Kyle Hendricks,LAD,LAA,-5.7,10,8.468181818,Do Not Start
8/19/2025,Kyle Hendricks,CIN,LAA,2,-5.7,7.852173913,Do Not Start
8/24/2025,Kyle Hendricks,CHC,LAA,-1.7,2,7.608333333,Do Not Start
8/30/2025,Kyle Hendricks,HOU,HOU,11,-1.7,7.236,Do Not Start
9/4/2025,Kyle Hendricks,KCR,KCR,8,11,7.380769231,Do Not Start
9/9/2025,Kyle Hendricks,MIN,LAA,27,8,7.403703704,Do Not Start
9/14/2025,Kyle Hendricks,SEA,SEA,-14.7,27,8.103571429,Do Not Start
9/20/2025,Kyle Hendricks,COL,COL,28,-14.7,7.317241379,Do Not Start
9/26/2025,Kyle Hendricks,HOU,LAA,14,28,8.006666667,Do Not Start
4/5/2025,Chris Bassitt,NYM,NYM,23.6,18,18,Questionable Start
4/10/2025,Chris Bassitt,BOS,BOS,12.6,23.6,20.8,Questionable Start
4/16/2025,Chris Bassitt,ATL,TOR,25,12.6,18.06666667,Probably Start
4/22/2025,Chris Bassitt,HOU,HOU,2.3,25,19.8,Probably Start
4/27/2025,Chris Bassitt,NYY,NYY,5.6,2.3,16.3,Probably Start
5/2/2025,Chris Bassitt,CLE,TOR,6.3,5.6,14.51666667,Questionable Start
5/8/2025,Chris Bassitt,LAA,LAA,12,6.3,13.34285714,Probably Start
5/14/2025,Chris Bassitt,TBR,TOR,10.6,12,13.175,Probably Start
5/20/2025,Chris Bassitt,SDP,TOR,24,10.6,12.88888889,Questionable Start
5/25/2025,Chris Bassitt,TBR,TBR,-7,24,14,NA
5/30/2025,Chris Bassitt,ATH,TOR,7,-7,12.09090909,Questionable Start
6/5/2025,Chris Bassitt,PHI,TOR,23,7,11.66666667,Do Not Start
6/10/2025,Chris Bassitt,STL,STL,13,23,12.53846154,Questionable Start
6/17/2025,Chris Bassitt,ARI,TOR,10,13,12.57142857,Do Not Start
6/22/2025,Chris Bassitt,CHW,TOR,19,10,12.4,Questionable Start
6/28/2025,Chris Bassitt,BOS,BOS,-19,19,12.8125,Do Not Start
7/3/2025,Chris Bassitt,NYY,TOR,12.6,-19,10.94117647,Do Not Start
7/8/2025,Chris Bassitt,CHW,CHW,17,12.6,11.03333333,Questionable Start
7/18/2025,Chris Bassitt,SFG,TOR,18.3,17,11.34736842,Questionable Start
7/23/2025,Chris Bassitt,NYY,TOR,25.3,18.3,11.695,Do Not Start
7/28/2025,Chris Bassitt,BAL,BAL,-9.7,25.3,12.34285714,Questionable Start
